num,id,Province,Place,time,ph,sol,amm,per,toc,Points,Result,Y,rain
1,198,Xinjiang,Eerqisinanwanshuiwenzhan,2015120104,7.91,11.35,1.01,9999,-1,3,Clean,0,0
1,199,Xinjiang,63tuanyilihedaqiao,2015120104,8.61,10.55,9.9,9999,0.12,7,Clean,0,0
1,201,Jilin,Changchunnanlou,2015120104,7.43,2.33,8.68,9999,11.82,23,Polluted,1,0
1,203,Jiangxi,Shangraokangshan,2015120104,7.04,8,2.3,9999,0.03,5,Clean,0,0
1,204,Heilongjiang,Jiamusijiangxindao,2015120104,6.85,10.71,0.52,5.95,0.28,5,Clean,0,0
1,205,Heilongjiang,Mudanjiangkounei,2015120104,7.48,15.19,4.98,9999,0.15,6,Clean,0,0
1,206,Guangxi,Fangchenggangdongxing,2015120104,6.89,8.3,-1,0.56,-1,2,Inconclusive,-,0
1,207,Heilongjiang,Jixizhiyiqiao,2015120104,6.94,4.24,-1,-1,0.28,7,Clean,0,0
1,208,Heilongjiang,Jixidangbizhen,2015120104,7.07,16.37,3.9,-1,0.23,6,Clean,0,0
1,209,Yunnan,Kunmingdianchinanan,2015120104,9.62,11.33,1.13,28.3,0.25,14,Polluted,1,0
1,210,Yunnan,Kunmingluojiaying,2015120104,9.52,7.74,6.54,9.61,0.21,17,Polluted,1,0
1,212,Neimenggu,Hulunbeierbeierhu,2015120104,8.59,11.08,10.02,15.82,-1,10,Polluted,1,0
1,215,Heilongjiang,Fuyuan,2015120104,7,12.02,7.2,9999,0.25,8,Clean,0,0
1,216,Guangxi,Chongzuobajiaodianzhan,2015120104,8.2,8.86,0.67,0.73,0.02,4,Clean,0,0
1,217,Yunnan,Baoshanhongqiqiao,2015120104,7.95,8.21,1.5,3.91,0.14,4,Clean,0,0
1,218,Heilongjiang,Haerbinhulanhetieluqiao,2015120104,7.58,8.21,3.4,9999,1.2,8,Clean,0,0
1,219,Yunnan,Dalierhaijinhezhan,2015120104,8.33,8.5,4.49,5.14,0.16,7,Clean,0,0
2,5,Zhongqing,Zhutuo,2015120108,8.17,9.7,1.01,9999,0.29,5,Clean,0,4.5
2,8,Zhejiang,Huzhouxintanggang,2015120108,7.41,8.29,1.69,9999,0.59,6,Clean,0,0
2,12,Henan,Jiyuanxiaolangdi,2015120108,8.54,8.78,1.4,9999,0.37,5,Clean,0,0.4
2,14,Heilongjiang,Zhaoyuan,2015120108,-1,9.63,6.9,9999,0.32,7,Clean,0,0
2,18,Jiangsu,Nanjinglinshan,2015120108,8.29,10.41,3.4,9999,0.18,6,Clean,0,0
2,19,Jiangsu,Xuyi,2015120108,7.54,10.01,3.96,9999,0.24,6,Clean,0,0
2,20,Jiangsu,Peicang,2015120108,7.93,10.34,4.3,4.06,0.3,7,Clean,0,0.3
2,56,Anhui,Anqingwanhekou,2015120108,7.55,8.43,3.08,9999,0.06,5,Clean,0,0
2,58,Anhui,Huainanshitoubu,2015120108,7.7,10.04,5.07,9999,0.03,6,Clean,0,0
2,59,Anhui,Jieshouqidukou,2015120108,7.87,6.52,7.6,8.9,1.38,11,Polluted,1,0
2,60,Tianjin,Sanchakou,2015120108,7.38,9.63,4.85,9999,1.89,13,Polluted,1,0
2,63,Guangdong,Guangzhouchangzhou,2015120108,6.95,3.98,2.19,9999,0.35,9,Clean,0,0.6
2,68,Jilin,Baichengbaishatan,2015120108,7.66,9.21,3.9,9999,0.2,6,Clean,0,0.2
2,69,Heilongjiang,Tongjiang,2015120108,6.84,9.9,-1,9999,0.35,4,Clean,0,0
2,70,Liaoning,Yingkouliaohegongyuan,2015120108,6.95,0.2,3.2,4.1,1.25,17,Polluted,1,0.3
2,73,Beijing,Mentougouyanhecheng,2015120108,8.7,10.99,1.78,9999,0.1,4,Clean,0,0
2,74,Sichuan,Panzhihualongdong,2015120108,8.21,8.53,1.41,9999,-1,3,Clean,0,0
2,75,Hubei,Yichangnanjinguan,2015120108,7.81,8.99,1.18,9999,0.1,4,Clean,0,0.2
2,76,Jiangxi,Jiujianghexishuichang,2015120108,7.64,11.53,2.48,9999,0.21,6,Clean,0,0
2,77,Jiangsu,Wuxishazhu,2015120108,7.46,11.81,4,9999,0.1,5,Clean,0,0
2,79,Guangxi,Wuzhoujieshou,2015120108,7.28,10.06,-1,9999,0.21,4,Clean,0,0.8
2,81,Gansu,Lanzhouxinchengqiao,2015120108,7.34,8.99,2.99,9999,0.15,5,Clean,0,0
2,83,Neimenggu,Baotouhuajiangyingzi,2015120108,7.79,12.28,4.8,9999,0.29,7,Clean,0,0
2,85,Shandong,Jinanbokou,2015120108,8.71,13.16,2.92,9999,0.39,6,Clean,0,0.2
2,103,Jiangsu,Suzhouxishan,2015120108,8.34,6.65,3.5,9999,0.97,8,Clean,0,0
2,106,Anhui,Huaibeixiaowangqiao,2015120108,8.58,12.52,6.77,9999,0.22,8,Clean,0,0
2,108,Shanxi,Xinzhouwanjiazhai,2015120108,7.19,7.77,2.62,9999,0.32,6,Clean,0,0.4
2,109,Anhui,Bangbubangbuzha,2015120108,7.41,9,-1,9999,0.37,4,Clean,0,0
2,110,Hunan,Changshaxingang,2015120108,5.97,7.41,1.93,9999,0.16,15,Polluted,1,0.2
2,111,Jiangsu,Yixinglanshanzui,2015120108,7.43,8.56,3.67,9999,0.4,6,Clean,0,0
2,112,Jiangsu,Yangzhousanjiangying,2015120108,7.31,9.56,2.6,9999,0.21,6,Clean,0,0
2,113,Ningxia,Zhongweixindun,2015120108,8.54,9.79,3.2,9999,-1,4,Clean,0,0
